Player,NBABPM,Height,Weight,Wingspan,G,MP,PTS,SOS,PER,TS%,eFG%,PProd,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS/40,NCAABPM,Position_Big,Position_Point,Position_Wing
Willie Cauley-Stein,-0.1,7.04,242.0,7.25,105,24.5,8.0,8.12,23.3,0.582,0.593,842,14.7,7.0,2.7,9.2,14.9,16.9,0.198,10.7,1,0,0
Stanley Johnson,-2.8,6.54,242.0,6.96,38,28.4,13.8,7.41,22.5,0.551,0.501,509,14.1,11.6,3.2,1.6,14.7,26.6,0.212,9.4,0,0,1
Frank Kaminsky,-0.5,7.06,231.0,6.92,144,20.4,10.1,9.61,29.6,0.609,0.573,1398,14.4,14.9,1.7,5.2,9.2,25.5,0.259,13.0,1,0,0
Justise Winslow,-2.1,6.54,221.0,6.85,39,29.1,12.6,9.87,22.3,0.572,0.551,473,13.1,13.2,2.8,2.9,14.2,22.9,0.196,10.0,0,0,1
Myles Turner,0.5,6.96,239.0,7.33,34,22.2,10.1,9.07,25.5,0.556,0.488,310,16.7,6.2,0.8,12.3,13.2,25.1,0.213,9.3,1,0,0
Trey Lyles,-1.2,6.85,241.0,7.13,36,23.0,8.7,8.67,19.8,0.543,0.496,308,13.3,9.2,1.4,2.1,12.4,20.8,0.213,8.0,1,0,0
Devin Booker,-0.1,6.48,206.0,6.69,38,21.5,10.0,8.67,19.4,0.6,0.571,324,5.4,10.9,1.3,0.3,10.4,22.8,0.219,9.4,0,0,1
Cameron Payne,-0.7,6.13,183.0,6.6,69,32.4,18.5,-3.19,25.3,0.551,0.509,1315,6.5,37.1,3.3,1.7,14.5,30.5,0.202,6.4,0,1,0
Kelly Oubre Jr.,-1.9,6.56,203.0,7.19,36,21.0,9.3,12.13,21.1,0.555,0.512,303,13.2,8.1,3.3,1.8,12.5,23.1,0.18,8.8,0,0,1
Terry Rozier,0.3,6.19,190.0,6.69,73,26.8,12.0,6.89,20.6,0.507,0.463,853,8.9,18.6,3.4,0.4,10.5,24.7,0.193,8.7,0,1,0
Rashad Vaughn,-4.7,6.42,199.0,6.58,23,32.3,17.8,3.38,20.2,0.547,0.521,352,8.4,11.8,1.5,1.1,11.8,30.8,0.132,4.5,0,0,1
Sam Dekker,-1.4,6.75,219.0,6.96,113,27.9,12.1,10.07,23.4,0.585,0.563,1283,11.4,10.5,1.5,1.7,8.9,22.9,0.201,9.8,1,0,0
Jerian Grant,-1.6,6.35,198.0,6.63,119,36.4,14.6,6.88,21.4,0.563,0.506,1877,5.0,31.9,2.6,0.9,14.7,23.1,0.17,6.9,0,1,0
Delon Wright,2.1,6.46,181.0,6.63,68,34.8,15.0,6.82,28.1,0.629,0.565,1114,10.3,30.8,4.0,3.5,15.8,22.1,0.266,13.9,0,1,0
Justin Anderson,-1.4,6.52,231.0,6.98,98,24.1,8.9,6.64,19.5,0.549,0.503,847,9.2,16.5,1.7,4.3,13.6,22.3,0.182,8.7,0,0,1
Bobby Portis,-0.8,6.88,246.0,7.17,70,28.5,15.0,6.18,26.7,0.574,0.54,989,15.3,9.8,2.1,5.3,9.6,24.2,0.21,8.4,1,0,0
Rondae Hollis-Jefferson,-0.7,6.58,211.0,6.96,76,27.0,10.2,8.23,21.1,0.56,0.504,792,14.0,10.5,2.1,3.8,13.0,20.2,0.211,9.0,0,0,1
Tyus Jones,0.0,6.17,185.0,6.42,39,33.9,11.8,9.87,20.4,0.575,0.489,532,6.1,27.5,2.7,0.2,15.9,18.7,0.196,9.3,0,1,0
Jarell Martin,-4.3,6.77,239.0,6.75,65,30.7,13.7,6.12,19.3,0.56,0.525,839,12.1,8.9,1.9,2.1,15.4,22.8,0.15,4.1,1,0,0
Larry Nance Jr.,1.2,6.71,227.0,7.13,123,29.5,11.3,2.08,22.7,0.587,0.54,1343,15.1,12.7,2.6,4.5,14.0,22.8,0.185,6.1,1,0,0
Kevon Looney,-0.8,6.77,222.0,7.3,36,30.9,11.6,8.27,21.9,0.532,0.505,428,16.6,9.1,2.5,3.3,10.3,19.7,0.172,7.0,1,0,0
Montrezl Harrell,2.6,6.63,253.0,7.35,112,26.4,11.6,7.64,24.1,0.586,0.592,1218,14.8,7.4,1.8,4.4,11.6,21.0,0.217,8.7,1,0,0
Richaun Holmes,0.5,6.79,243.0,7.13,95,26.5,11.5,-1.07,26.4,0.605,0.574,1022,15.2,5.9,1.8,11.0,13.7,21.8,0.2,6.4,1,0,0
Josh Richardson,-0.6,6.42,200.0,6.7,136,28.3,9.2,7.15,16.2,0.542,0.504,1210,7.0,14.4,2.5,2.5,15.3,19.0,0.125,5.5,0,0,1
Pat Connaughton,-0.4,6.44,215.0,6.67,139,32.3,10.5,6.88,17.8,0.587,0.567,1363,11.4,11.1,1.3,1.6,9.8,16.9,0.142,6.7,0,0,1
Andrew Harrison,-2.8,6.46,213.0,6.75,79,28.6,10.1,9.28,14.9,0.517,0.43,860,5.4,24.8,1.7,0.8,18.3,21.3,0.147,5.0,0,1,0
Norman Powell,-0.2,6.35,215.0,6.9,141,25.2,9.8,7.25,16.4,0.548,0.512,1248,6.9,11.5,2.6,1.7,12.5,20.3,0.123,4.5,0,0,1
Andrew Wiggins,-1.8,6.58,197.0,6.86,35,32.8,17.1,11.4,21.4,0.563,0.499,564,10.4,9.2,2.1,3.1,13.1,26.3,0.17,8.3,0,0,1
Jabari Parker,-0.8,6.67,245.0,6.95,35,30.7,19.1,8.48,28.4,0.558,0.511,623,17.1,8.6,2.1,4.0,11.9,32.7,0.205,7.6,1,0,0
Joel Embiid,4.9,7.0,280.0,7.28,28,23.1,11.2,11.4,28.2,0.655,0.629,307,20.5,11.5,2.3,11.7,21.6,23.4,0.213,11.9,1,0,0
Aaron Gordon,0.0,6.73,220.0,6.98,38,31.2,12.4,9.04,20.4,0.503,0.516,469,14.9,13.0,1.8,3.4,10.5,23.2,0.183,8.4,1,0,0
Marcus Smart,-0.3,6.27,227.0,6.77,64,33.1,16.6,7.53,25.4,0.542,0.47,1126,10.3,28.4,5.2,2.1,16.4,28.2,0.207,11.4,0,1,0
Julius Randle,0.3,6.75,250.0,7.0,40,30.8,15.0,9.9,24.5,0.567,0.505,599,19.2,10.0,1.0,2.6,16.1,25.4,0.191,7.5,1,0,0
Nik Stauskas,-3.0,6.54,207.0,6.65,75,32.9,14.1,9.85,20.3,0.638,0.591,974,5.7,13.4,1.1,0.9,11.8,21.0,0.174,8.4,0,0,1
Noah Vonleh,-2.4,6.79,247.0,7.35,30,26.5,11.3,6.64,22.2,0.604,0.56,321,19.4,4.9,1.9,5.4,18.6,21.4,0.182,6.6,1,0,0
Elfrid Payton,-0.8,6.31,185.0,6.67,100,31.6,14.3,-1.6,21.3,0.533,0.5,1566,9.2,32.0,3.5,1.6,20.1,25.6,0.139,4.0,0,1,0
Doug McDermott,-1.8,6.65,218.0,6.77,145,31.5,21.7,4.29,30.2,0.652,0.616,2684,14.8,10.4,0.5,0.3,11.7,32.3,0.235,8.4,0,0,1
Zach LaVine,0.1,6.48,181.0,6.69,37,24.4,9.4,7.62,14.6,0.545,0.524,324,6.1,12.6,2.1,0.8,11.6,20.1,0.111,2.9,0,0,1
T.J. Warren,-0.2,6.69,220.0,6.85,70,31.2,18.5,7.31,28.0,0.593,0.579,1155,10.7,7.4,2.9,1.7,9.7,28.6,0.194,9.6,0,0,1
Tyler Ennis,-3.4,6.21,182.0,6.6,34,35.7,12.9,7.25,21.3,0.511,0.453,480,5.7,32.3,3.9,0.7,11.9,21.9,0.18,8.7,0,1,0
