Player,Height,Weight,Wingspan,G,MP,PTS,SOS,PER,TS%,eFG%,PProd,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS/40,NCAABPM,Position_Big,Position_Point,Position_Wing
Moses Moody,6.5,210.6,7.06,32,33.8,16.8,7.18,20.4,0.568,0.503,511,9,8.2,1.6,2,9.9,22.3,0.193,7.4,,,1
Moses Wright,6.75,225.8,7.06,111,25.2,10.2,8.18,17.8,0.522,0.506,1086,13.2,9.6,1.8,4.2,14.7,23.5,0.118,2.6,1,,
Nah'Shon Hyland,6.29,169,6.77,55,25.5,13.6,4.42,21.1,0.588,0.557,663,7.7,17.4,3,1.1,14.8,27.4,0.181,7.1,,,1
Neemias Queta,7.04,248.4,7.33,86,28,13.2,2.08,26.3,0.612,0.596,1094,18.2,15,1.5,10.8,19.1,23.5,0.218,8.4,1,,
Ochai Agbaji,6.46,214.4,6.83,83,31.5,11.1,11.56,14.6,0.541,0.523,865,7.3,9.7,1.8,1.5,13.2,18.8,0.131,6,,,1
Quentin Grimes,6.44,205,6.67,96,29.3,12.5,8.15,16.3,0.536,0.51,1125,7.3,14.4,1.9,0.9,14.8,23.1,0.153,5.7,,,1
RaiQuan Gray,6.65,268.6,6.9,90,18.5,6.8,9.02,17.1,0.535,0.486,627,12.4,13.6,3.1,3.1,19.6,21.1,0.141,5.4,1,,
Sam Hauser,6.67,217.4,6.77,126,31.6,13.3,8.21,21.1,0.634,0.61,1570,11.8,13,1.4,1.7,9.3,19.2,0.178,8.5,,,1
Sandro Mamukelashvili,6.83,239.8,7.1,115,24.4,9.6,9.48,18.2,0.542,0.517,1105,13.2,13.6,1.4,3.3,15.1,21.4,0.131,5.2,1,,
Scottie Barnes,6.67,225.4,7.23,24,24.8,10.3,9.16,21.4,0.548,0.531,283,9.3,31.6,3.4,2.1,20.7,23.7,0.164,7.9,,,1
Scottie Lewis,6.44,187.6,7,51,27.6,8.2,9.46,15.3,0.551,0.5,409,7.3,7,2.9,4.6,16.1,16.6,0.121,6.3,,,1
Sharife Cooper,6.08,180,6,12,33.1,20.2,9.28,22.9,0.519,0.427,270,6.9,51.9,1.6,0.7,17.7,33.1,0.174,4.3,,1,
Terrence Shannon Jr.,6.54,206.6,6.69,57,25.1,11.3,7.84,19.9,0.561,0.499,599,9.7,10.1,2.4,1.3,11.5,23.4,0.187,6.4,,,1
Tre Mann,6.35,177.6,6.33,53,24.4,10.2,9.46,15.7,0.534,0.497,526,8.7,16.1,2.2,0.4,16.5,23.9,0.12,3.9,,1,
Trendon Watford,6.73,237.4,7.19,59,33,14.9,8.17,19.5,0.542,0.511,878,12,12.7,1.7,2.2,16.2,23.8,0.129,4.3,1,,
Trey Murphy III,6.77,206,7,86,26.4,11,1.59,19,0.623,0.595,835,8.3,8,1.6,2.1,9.7,19.4,0.152,4.5,,,1
Yves Pons,6.56,206.4,7.06,116,20.1,5.7,9.26,14.2,0.551,0.536,615,9.5,6.2,1.1,6.7,14.9,15.4,0.116,4.2,1,,
Ziaire Williams,6.81,188.4,6.85,20,27.9,10.7,10.01,11.1,0.473,0.431,213,9.9,16.4,1.7,2.2,20.4,26.5,0.046,0.3,,,1
